Bucket label,RT,m/z,Name,Formula,Peak number
172.98249 Da 0.98 s,0.02,87.49852,,C5H4NO4P,pos 172.98249 Da 0.98 s
79.95455 Da 0.98 s,0.02,80.96182,,,pos 79.95455 Da 0.98 s
96.96204 Da 0.98 s,0.02,97.96932,,,pos 96.96204 Da 0.98 s
503.98138 Da 3.12 s,0.05,252.99797,,,pos 503.98138 Da 3.12 s
215.04528 Da 3.12 s,0.05,108.52992,,,pos 215.04528 Da 3.12 s
208.08157 Da 3.12 s,0.05,209.08885,,C5H12N4O5,pos 208.08157 Da 3.12 s
213.06813 Da 3.17 s,0.05,107.54134,,,pos 213.06813 Da 3.17 s
86.51817 Da 3.41 s,0.06,87.52545,,,pos 86.51817 Da 3.41 s
207.95442 Da 5.25 s,0.09,104.98449,,,pos 207.95442 Da 5.25 s
114.01492 Da 5.25 s,0.09,115.0222,,,pos 114.01492 Da 5.25 s
136.93929 Da 5.25 s,0.09,69.47692,,,pos 136.93929 Da 5.25 s
208.02412 Da 5.25 s,0.09,105.01934,,C7H4N4O4,pos 208.02412 Da 5.25 s
106.51609 Da 7.38 s,0.12,107.52336,,,pos 106.51609 Da 7.38 s
89.49276 Da 7.38 s,0.12,90.50003,,,pos 89.49276 Da 7.38 s
227.99865 Da 7.56 s,0.13,115.0066,,,pos 227.99865 Da 7.56 s
210.09810 Da 7.88 s,0.13,211.10538,,C5H14N4O5,pos 210.09810 Da 7.88 s
155.99983 Da 7.88 s,0.13,79.00719,,,pos 155.99983 Da 7.88 s
154.96148 Da 7.88 s,0.13,78.48802,,C5HNO3S,pos 154.96148 Da 7.88 s
600.26834 Da 8.66 s,0.14,301.14145,,,pos 600.26834 Da 8.66 s
1659.83490 Da 8.88 s,0.15,830.92473,,,pos 1659.83490 Da 8.88 s
271.96093 Da 8.88 s,0.15,272.96821,,,pos 271.96093 Da 8.88 s
581.92787 Da 8.88 s,0.15,582.93515,,C14H15N8O4PS6,pos 581.92787 Da 8.88 s
649.92754 Da 8.88 s,0.15,650.93482,,C15H19N6O9PS6,pos 649.92754 Da 8.88 s
679.94176 Da 8.88 s,0.15,680.94903,,C39H8N2O3S4,pos 679.94176 Da 8.88 s
475.94925 Da 8.88 s,0.15,476.95652,,,pos 475.94925 Da 8.88 s
897.28067 Da 9.39 s,0.16,898.28794,,C35H32N25O4P,pos 897.28067 Da 9.39 s
837.94539 Da 9.39 s,0.16,838.95267,,,pos 837.94539 Da 9.39 s
1069.95131 Da 9.39 s,0.16,1070.95859,,C34H42N2O15S11,pos 1069.95131 Da 9.39 s
979.62131 Da 9.39 s,0.16,980.62859,,C49H95N3O10P2S,pos 979.62131 Da 9.39 s
1075.96330 Da 9.39 s,0.16,1076.97057,,,pos 1075.96330 Da 9.39 s
1078.63158 Da 9.39 s,0.16,1079.63886,,,pos 1078.63158 Da 9.39 s
609.97635 Da 9.39 s,0.16,610.98363,,C14H13N8O14P3,pos 609.97635 Da 9.39 s
936.94127 Da 9.39 s,0.16,937.94855,,,pos 936.94127 Da 9.39 s
1118.46289 Da 9.39 s,0.16,1119.47016,,C49H75N12O10PS3,pos 1118.46289 Da 9.39 s
763.92579 Da 9.39 s,0.16,764.93307,,C24H5N12O13PS2,pos 763.92579 Da 9.39 s
514.94214 Da 9.39 s,0.16,515.94942,,C18H9N7O2S5,pos 514.94214 Da 9.39 s
883.28081 Da 9.39 s,0.16,884.28808,,C59H33N9O,pos 883.28081 Da 9.39 s
1471.88797 Da 9.39 s,0.16,736.95126,,,pos 1471.88797 Da 9.39 s
787.92702 Da 9.39 s,0.16,788.93429,,C17H40O10S12,pos 787.92702 Da 9.39 s
677.97369 Da 9.39 s,0.16,678.98097,,C20H11N10O12PS2,pos 677.97369 Da 9.39 s
701.94355 Da 9.39 s,0.16,702.95083,,,pos 701.94355 Da 9.39 s
1581.88420 Da 9.39 s,0.16,791.94938,,,pos 1581.88420 Da 9.39 s
969.93916 Da 9.39 s,0.16,970.94644,,C26H14N14O20S4,pos 969.93916 Da 9.39 s
855.93237 Da 9.39 s,0.16,856.93965,,C34H33O4PS10,pos 855.93237 Da 9.39 s
982.94431 Da 9.39 s,0.16,983.95158,,C24H17N13O23S4,pos 982.94431 Da 9.39 s
952.61055 Da 9.39 s,0.16,953.61783,,,pos 952.61055 Da 9.39 s
541.97852 Da 9.39 s,0.16,542.9858,,,pos 541.97852 Da 9.39 s
1683.84559 Da 9.39 s,0.16,842.93007,,,pos 1683.84559 Da 9.39 s
825.95785 Da 9.39 s,0.16,826.96513,,C17H7N20O15PS2,pos 825.95785 Da 9.39 s
798.93106 Da 9.39 s,0.16,799.93833,,C24H29N7O2S11,pos 798.93106 Da 9.39 s
919.94607 Da 9.39 s,0.16,920.95335,,C24H13N10O26PS,pos 919.94607 Da 9.39 s
833.43822 Da 9.39 s,0.16,834.4455,,C36H63N7O15,pos 833.43822 Da 9.39 s
1597.64831 Da 9.57 s,0.16,799.83143,,,pos 1597.64831 Da 9.57 s
1335.72336 Da 9.66 s,0.16,668.86896,,,pos 1335.72336 Da 9.66 s
1805.62169 Da 9.66 s,0.16,903.81812,,,pos 1805.62169 Da 9.66 s
1695.62965 Da 9.66 s,0.16,848.8221,,,pos 1695.62965 Da 9.66 s
1601.65658 Da 9.87 s,0.16,801.83556,,,pos 1601.65658 Da 9.87 s
1093.96185 Da 9.89 s,0.16,1094.96913,,C40H30N12O6S10,pos 1093.96185 Da 9.89 s
565.94689 Da 9.89 s,0.16,566.95416,,,pos 565.94689 Da 9.89 s
1010.62384 Da 9.89 s,0.16,1011.63112,,C53H86N8O9S,pos 1010.62384 Da 9.89 s
1164.97118 Da 9.89 s,0.16,1165.97845,,,pos 1164.97118 Da 9.89 s
378.94813 Da 9.89 s,0.16,379.95541,,C13H6N3O5PS2,pos 378.94813 Da 9.89 s
1211.98592 Da 9.89 s,0.16,1212.99319,,,pos 1211.98592 Da 9.89 s
1737.87438 Da 9.89 s,0.16,869.94447,,,pos 1737.87438 Da 9.89 s
927.44979 Da 9.89 s,0.16,928.45707,,,pos 927.44979 Da 9.89 s
1669.87366 Da 9.89 s,0.16,835.94411,,,pos 1669.87366 Da 9.89 s
970.94286 Da 9.89 s,0.16,971.95014,,C53H118N12O3,pos 970.94286 Da 9.89 s
1689.87905 Da 9.89 s,0.16,845.9468,,,pos 1689.87905 Da 9.89 s
895.93287 Da 9.89 s,0.16,896.94015,,C19H44O15S12,pos 895.93287 Da 9.89 s
1033.62460 Da 9.89 s,0.16,1034.63187,,C60H79N11O5,pos 1033.62460 Da 9.89 s
1465.86870 Da 9.89 s,0.16,733.94163,,,pos 1465.86870 Da 9.89 s
1121.95833 Da 9.89 s,0.16,1122.9656,,C54H128N11O10P,pos 1121.95833 Da 9.89 s
1177.97855 Da 9.89 s,0.16,1178.98582,,,pos 1177.97855 Da 9.89 s
926.60866 Da 9.89 s,0.16,927.61594,,C45H95N6O3PS4,pos 926.60866 Da 9.89 s
216.11089 Da 9.89 s,0.16,217.11816,,C9H16N2O4,pos 216.11089 Da 9.89 s
1092.63156 Da 9.89 s,0.16,1093.63884,,C44H92N20O2S5,pos 1092.63156 Da 9.89 s
922.94214 Da 9.89 s,0.16,923.94942,,C25H49NO5S15,pos 922.94214 Da 9.89 s
951.62151 Da 9.89 s,0.16,952.62879,,,pos 951.62151 Da 9.89 s
1015.94962 Da 9.89 s,0.16,1016.95689,,,pos 1015.94962 Da 9.89 s
778.44227 Da 9.89 s,0.16,779.44955,,,pos 778.44227 Da 9.89 s
993.94098 Da 9.89 s,0.16,994.94825,,C31H14N8O27S2,pos 993.94098 Da 9.89 s
1096.96381 Da 9.89 s,0.16,1097.97109,,C25H12N23O23PS2,pos 1096.96381 Da 9.89 s
