Bucket label,RT,m/z,Name,Formula,Peak number
172.98249 Da 0.98 s,0.02,87.49852,,C5H4NO4P,bin_0
79.95455 Da 0.98 s,0.02,80.96182,,,bin_1
96.96204 Da 0.98 s,0.02,97.96932,,,bin_2
503.98138 Da 3.12 s,0.05,252.99797,,,bin_3
215.04528 Da 3.12 s,0.05,108.52992,,,bin_4
208.08157 Da 3.12 s,0.05,209.08885,,C5H12N4O5,bin_5
213.06813 Da 3.17 s,0.05,107.54134,,,bin_6
86.51817 Da 3.41 s,0.06,87.52545,,,bin_7
207.95442 Da 5.25 s,0.09,104.98449,,,bin_8
114.01492 Da 5.25 s,0.09,115.0222,,,bin_9
136.93929 Da 5.25 s,0.09,69.47692,,,bin_10
208.02412 Da 5.25 s,0.09,105.01934,,C7H4N4O4,bin_11
106.51609 Da 7.38 s,0.12,107.52336,,,bin_12
89.49276 Da 7.38 s,0.12,90.50003,,,bin_13
227.99865 Da 7.56 s,0.13,115.0066,,,bin_14
210.09810 Da 7.88 s,0.13,211.10538,,C5H14N4O5,bin_15
155.99983 Da 7.88 s,0.13,79.00719,,,bin_16
154.96148 Da 7.88 s,0.13,78.48802,,C5HNO3S,bin_17
600.26834 Da 8.66 s,0.14,301.14145,,,bin_18
1659.83490 Da 8.88 s,0.15,830.92473,,,bin_19
271.96093 Da 8.88 s,0.15,272.96821,,,bin_20
581.92787 Da 8.88 s,0.15,582.93515,,C14H15N8O4PS6,bin_21
649.92754 Da 8.88 s,0.15,650.93482,,C15H19N6O9PS6,bin_22
679.94176 Da 8.88 s,0.15,680.94903,,C39H8N2O3S4,bin_23
475.94925 Da 8.88 s,0.15,476.95652,,,bin_24
897.28067 Da 9.39 s,0.16,898.28794,,C35H32N25O4P,bin_25
837.94539 Da 9.39 s,0.16,838.95267,,,bin_26
1069.95131 Da 9.39 s,0.16,1070.95859,,C34H42N2O15S11,bin_27
979.62131 Da 9.39 s,0.16,980.62859,,C49H95N3O10P2S,bin_28
1075.96330 Da 9.39 s,0.16,1076.97057,,,bin_29
1078.63158 Da 9.39 s,0.16,1079.63886,,,bin_30
609.97635 Da 9.39 s,0.16,610.98363,,C14H13N8O14P3,bin_31
936.94127 Da 9.39 s,0.16,937.94855,,,bin_32
1118.46289 Da 9.39 s,0.16,1119.47016,,C49H75N12O10PS3,bin_33
763.92579 Da 9.39 s,0.16,764.93307,,C24H5N12O13PS2,bin_34
514.94214 Da 9.39 s,0.16,515.94942,,C18H9N7O2S5,bin_35
883.28081 Da 9.39 s,0.16,884.28808,,C59H33N9O,bin_36
1471.88797 Da 9.39 s,0.16,736.95126,,,bin_37
